expt1,expt2,expt3,expt4
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,2
1,1,1,2
1,1,1,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,2,2,2
2,2,2,2
2,2,2,2
2,2,2,2
2,2,2,2
2,2,2,2
3,2,2,2
3,2,2,2
3,2,2,2
3,2,2,2
3,2,2,2
3,2,2,2
3,2,2,2
3,2,2,2
3,3,2,2
3,3,2,2
3,3,2,3
3,3,3,3
3,3,3,3
3,3,3,3
3,3,3,3
